date,temperature,humidity
4/8/2016 0:00,27,93
4/8/2016 1:00,27,94
4/8/2016 2:00,27,94
4/8/2016 3:00,27,94
4/8/2016 4:00,27,95
4/8/2016 5:00,27,94
4/8/2016 6:00,27,95
4/8/2016 7:00,27,94
4/8/2016 8:00,28,91
4/8/2016 9:00,27,95
4/8/2016 10:00,28,94
4/8/2016 11:00,28,93
4/8/2016 12:00,29,90
4/8/2016 13:00,27,95
4/8/2016 14:00,27,98
4/8/2016 15:00,27,96
4/8/2016 16:00,27,95
4/8/2016 17:00,26,96
4/8/2016 18:00,26,94
4/8/2016 19:00,26,95
4/8/2016 20:00,27,94
4/8/2016 21:00,27,93
4/8/2016 22:00,27,93
4/8/2016 23:00,27,94
5/8/2016 0:00,27,95
5/8/2016 1:00,27,95
5/8/2016 2:00,27,96
5/8/2016 3:00,27,95
5/8/2016 4:00,27,95
5/8/2016 5:00,27,96
5/8/2016 6:00,27,96
5/8/2016 7:00,27,95
5/8/2016 8:00,28,94
5/8/2016 9:00,28,92
5/8/2016 10:00,29,86
5/8/2016 11:00,29,87
5/8/2016 12:00,32,77
5/8/2016 13:00,31,73
5/8/2016 14:00,32,69
5/8/2016 15:00,32,67
5/8/2016 16:00,32,66
5/8/2016 17:00,32,68
5/8/2016 18:00,31,68
5/8/2016 19:00,30,73
5/8/2016 20:00,30,78
5/8/2016 21:00,29,78
5/8/2016 22:00,29,81
5/8/2016 23:00,29,84
6/8/2016 0:00,28,87
6/8/2016 1:00,28,84
6/8/2016 2:00,28,83
6/8/2016 3:00,28,84
6/8/2016 4:00,28,86
6/8/2016 5:00,28,90
6/8/2016 6:00,27,91
6/8/2016 7:00,28,89
6/8/2016 8:00,28,89
6/8/2016 9:00,29,83
6/8/2016 10:00,29,82
6/8/2016 11:00,30,75
6/8/2016 12:00,31,67
6/8/2016 13:00,32,62
6/8/2016 14:00,33,62
6/8/2016 15:00,33,62
6/8/2016 16:00,33,61
6/8/2016 17:00,33,64
6/8/2016 18:00,32,67
6/8/2016 19:00,31,73
6/8/2016 20:00,30,78
6/8/2016 21:00,30,80
6/8/2016 22:00,30,82
6/8/2016 23:00,30,81
7/8/2016 0:00,29,83
7/8/2016 1:00,29,80
7/8/2016 2:00,29,83
7/8/2016 3:00,29,85
7/8/2016 4:00,29,86
7/8/2016 5:00,28,88
7/8/2016 6:00,28,89
7/8/2016 7:00,28,88
7/8/2016 8:00,29,87
7/8/2016 9:00,29,83
7/8/2016 10:00,30,82
7/8/2016 11:00,31,76
7/8/2016 12:00,32,74
7/8/2016 13:00,32,72
7/8/2016 14:00,33,67
7/8/2016 15:00,33,67
7/8/2016 16:00,33,70
7/8/2016 17:00,32,74
7/8/2016 18:00,32,72
7/8/2016 19:00,31,80
7/8/2016 20:00,31,78
7/8/2016 21:00,31,82
7/8/2016 22:00,30,86
7/8/2016 23:00,30,84
8/8/2016 0:00,29,87
8/8/2016 1:00,29,83
8/8/2016 2:00,29,86
8/8/2016 3:00,29,86
8/8/2016 4:00,29,89
8/8/2016 5:00,29,86
8/8/2016 6:00,29,88
8/8/2016 7:00,29,88
8/8/2016 8:00,29,87
8/8/2016 9:00,30,83
8/8/2016 10:00,30,79
8/8/2016 11:00,31,75
8/8/2016 12:00,32,72
8/8/2016 13:00,32,71
8/8/2016 14:00,33,68
8/8/2016 15:00,33,68
8/8/2016 16:00,33,71
8/8/2016 17:00,32,71
8/8/2016 18:00,31,71
8/8/2016 19:00,31,72
8/8/2016 20:00,31,77
8/8/2016 21:00,31,79
8/8/2016 22:00,30,81
8/8/2016 23:00,30,78
9/8/2016 0:00,30,85
9/8/2016 1:00,30,84
9/8/2016 2:00,29,84
9/8/2016 3:00,30,83
9/8/2016 4:00,29,87
9/8/2016 5:00,29,87
9/8/2016 6:00,29,89
9/8/2016 7:00,29,87
9/8/2016 8:00,30,84
9/8/2016 9:00,30,80
9/8/2016 10:00,31,77
9/8/2016 11:00,32,75
9/8/2016 12:00,32,78
9/8/2016 13:00,27,95
9/8/2016 14:00,27,89
9/8/2016 15:00,27,88
9/8/2016 16:00,28,91
9/8/2016 17:00,29,83
9/8/2016 18:00,29,82
9/8/2016 19:00,29,75
9/8/2016 20:00,29,78
9/8/2016 21:00,29,79
9/8/2016 22:00,29,83
9/8/2016 23:00,29,81
10/8/2016 0:00,29,82
10/8/2016 1:00,29,84
10/8/2016 2:00,29,89
10/8/2016 3:00,28,89
10/8/2016 4:00,28,88
10/8/2016 5:00,28,88
10/8/2016 6:00,28,86
10/8/2016 7:00,25,96
10/8/2016 8:00,25,97
10/8/2016 9:00,25,97
10/8/2016 10:00,25,98
10/8/2016 11:00,26,98
10/8/2016 12:00,26,97
10/8/2016 13:00,26,93
10/8/2016 14:00,26,89
10/8/2016 15:00,27,88
10/8/2016 16:00,27,90
10/8/2016 17:00,28,82
10/8/2016 18:00,27,91
10/8/2016 19:00,27,91
10/8/2016 20:00,27,91
10/8/2016 21:00,27,91
10/8/2016 22:00,27,92
10/8/2016 23:00,27,90
11/8/2016 0:00,26,92
11/8/2016 1:00,26,90
11/8/2016 2:00,26,90
11/8/2016 3:00,26,93
11/8/2016 4:00,27,91
11/8/2016 5:00,27,91
11/8/2016 6:00,27,90
11/8/2016 7:00,27,91
11/8/2016 8:00,27,91
11/8/2016 9:00,26,96
11/8/2016 10:00,25,97
11/8/2016 11:00,25,96
11/8/2016 12:00,26,97
11/8/2016 13:00,26,97
11/8/2016 14:00,27,94
11/8/2016 15:00,28,83
11/8/2016 16:00,29,71
11/8/2016 17:00,30,73
11/8/2016 18:00,29,75
11/8/2016 19:00,29,77
11/8/2016 20:00,29,76
11/8/2016 21:00,28,83
11/8/2016 22:00,27,84
11/8/2016 23:00,27,84
12/8/2016 0:00,27,85
12/8/2016 1:00,27,84
12/8/2016 2:00,27,87
12/8/2016 3:00,27,89
12/8/2016 4:00,27,91
12/8/2016 5:00,27,92
12/8/2016 6:00,27,90
12/8/2016 7:00,27,90
12/8/2016 8:00,27,91
12/8/2016 9:00,28,85
12/8/2016 10:00,28,87
12/8/2016 11:00,28,88
12/8/2016 12:00,28,82
12/8/2016 13:00,29,84
12/8/2016 14:00,29,82
12/8/2016 15:00,29,77
